Country/Region,Date,Name,Event,Format,Hero,Rank,deck_url
Australia,09 Aug 2025,"Amelia Hulin-Bobart – Kano, Dracai of Aether – Calling: Auckland – Classic Constructed",Calling: Auckland,Classic Constructed,"Kano, Dracai of Aether",,https://fabtcg.com/decklists/amelia-hulin-bobart-kano-dracai-of-aether-calling-auckland-classic-constructed-2/
United States of America,09 Aug 2025,"Alexander Vore – Oscilio, Constella Intelligence – Calling: Auckland – Classic Constructed",Calling: Auckland,Classic Constructed,"Oscilio, Constella Intelligence",,https://fabtcg.com/decklists/alexander-vore-oscilio-constella-intelligence-calling-auckland-classic-constructed-2/
Taiwan,09 Aug 2025,CYK Lionel – Dash I/O – Calling: Auckland – Classic Constructed,Calling: Auckland,Classic Constructed,Dash I/O,,https://fabtcg.com/decklists/cyk-lionel-dash-i-o-calling-auckland-classic-constructed-2/
New Zealand,09 Aug 2025,"Alexander McCallum – Fang, Dracai of Blades – Calling: Auckland – Classic Constructed",Calling: Auckland,Classic Constructed,"Fang, Dracai of Blades",,https://fabtcg.com/decklists/alexander-mccallum-fang-dracai-of-blades-calling-auckland-classic-constructed-2/
New Zealand,09 Aug 2025,"Jayden Allan – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Auckland – Classic Constructed",Calling: Auckland,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/jayden-allan-arakni-5lp3d-7hru-7h3-cr4x-calling-auckland-classic-constructed-2/
New Zealand,09 Aug 2025,"Michael Collins – Prism, Awakener of Sol – Calling: Auckland – Classic Constructed",Calling: Auckland,Classic Constructed,"Prism, Awakener of Sol",,https://fabtcg.com/decklists/michael-collins-prism-awakener-of-sol-calling-auckland-classic-constructed-3/
Australia,09 Aug 2025,"Hayden Dale – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Auckland – Classic Constructed",Calling: Auckland,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/hayden-dale-arakni-5lp3d-7hru-7h3-cr4x-calling-auckland-classic-constructed-3/
Germany,09 Aug 2025,"Viet Pham – Arakni, 5L!p3d 7hRu 7h3 cR4X – Battle Hardened: Lucerne 2025",,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/viet-pham-arakni-5lp3d-7hru-7h3-cr4x-battle-hardened-lucerne-2025/
Germany,09 Aug 2025,"Kim Scheerer – Gravy Bones, Shipwrecked Looter – Battle Hardened: Lucerne 2025",,Classic Constructed,"Gravy Bones, Shipwrecked Looter",,https://fabtcg.com/decklists/kim-scheerer-gravy-bones-shipwrecked-looter-battle-hardened-lucerne-2025/
Switzerland,09 Aug 2025,"Ralph Schlauri – Verdance, Thorn of the Rose – Battle Hardened: Lucerne 2025",,Classic Constructed,"Verdance, Thorn of the Rose",,https://fabtcg.com/decklists/ralph-schlauri-verdance-thorn-of-the-rose-battle-hardened-lucerne-2025/
New Zealand,09 Aug 2025,"Michael Collins – Prism, Awakener of Sol – Calling: Auckland – Classic Constructed",,Classic Constructed,"Prism, Awakener of Sol",,https://fabtcg.com/decklists/michael-collins-prism-awakener-of-sol-calling-auckland-classic-constructed/
Germany,09 Aug 2025,"Enes Findik – Arakni, 5L!p3d 7hRu 7h3 cR4X – Battle Hardened: Lucerne 2025",,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/enes-findik-arakni-5lp3d-7hru-7h3-cr4x-battle-hardened-lucerne-2025/
Australia,09 Aug 2025,"Hayden Dale – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Auckland – Classic Constructed",,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/hayden-dale-arakni-5lp3d-7hru-7h3-cr4x-calling-auckland-classic-constructed/
France,09 Aug 2025,"Etienne BARIOULET – Verdance, Thorn of the Rose – Battle Hardened: Lucerne 2025",,Classic Constructed,"Verdance, Thorn of the Rose",,https://fabtcg.com/decklists/etienne-barioulet-verdance-thorn-of-the-rose-battle-hardened-lucerne-2025/
New Zealand,09 Aug 2025,"Keegan Walls – Gravy Bones, Shipwrecked Looter – Calling: Auckland – Classic Constructed",,Classic Constructed,"Gravy Bones, Shipwrecked Looter",,https://fabtcg.com/decklists/keegan-walls-gravy-bones-shipwrecked-looter-calling-auckland-classic-constructed/
Australia,09 Aug 2025,"Amelia Hulin-Bobart – Kano, Dracai of Aether – Calling: Auckland – Classic Constructed",,Classic Constructed,"Kano, Dracai of Aether",,https://fabtcg.com/decklists/amelia-hulin-bobart-kano-dracai-of-aether-calling-auckland-classic-constructed/
United States of America,09 Aug 2025,"Alexander Vore – Oscilio, Constella Intelligence – Calling: Auckland – Classic Constructed",,Classic Constructed,"Oscilio, Constella Intelligence",,https://fabtcg.com/decklists/alexander-vore-oscilio-constella-intelligence-calling-auckland-classic-constructed/
Taiwan,09 Aug 2025,CYK Lionel – Dash I/O – Calling: Auckland – Classic Constructed,,Classic Constructed,Dash I/O,,https://fabtcg.com/decklists/cyk-lionel-dash-i-o-calling-auckland-classic-constructed/
New Zealand,09 Aug 2025,"Alexander McCallum – Fang, Dracai of Blades – Calling: Auckland – Classic Constructed",,Classic Constructed,"Fang, Dracai of Blades",,https://fabtcg.com/decklists/alexander-mccallum-fang-dracai-of-blades-calling-auckland-classic-constructed/
Netherlands,09 Aug 2025,"Sander Neeft – Gravy Bones, Shipwrecked Looter – Battle Hardened: Lucerne 2025",,Classic Constructed,"Gravy Bones, Shipwrecked Looter",,https://fabtcg.com/decklists/sander-neeft-gravy-bones-shipwrecked-looter-battle-hardened-lucerne-2025/
Switzerland,09 Aug 2025,Lars Seebacher – Dash I/O – Battle Hardened: Lucerne 2025,,Classic Constructed,Dash I/O,,https://fabtcg.com/decklists/lars-seebacher-dash-i-o-battle-hardened-lucerne-2025/
New Zealand,09 Aug 2025,"Jayden Allan – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Auckland – Classic Constructed",,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/jayden-allan-arakni-5lp3d-7hru-7h3-cr4x-calling-auckland-classic-constructed/
Germany,09 Aug 2025,"Chang Li – Victor Goldmane, High and Mighty – Battle Hardened: Lucerne 2025",,Classic Constructed,"Victor Goldmane, High and Mighty",,https://fabtcg.com/decklists/chang-li-victor-goldmane-high-and-mighty-battle-hardened-lucerne-2025/
United States of America,20 Jul 2025,"Naib Mobassir – Ira, Scarlet Revenger – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Ira, Scarlet Revenger",1st,https://fabtcg.com/decklists/naib-mobassir-ira-scarlet-revenger-battle-hardened-singapore/
United States of America,20 Jul 2025,"David Lee – Briar, Warden of Thorns – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Briar, Warden of Thorns",2nd,https://fabtcg.com/decklists/david-lee-briar-warden-of-thorns-battle-hardened-singapore/
Singapore,20 Jul 2025,"Chu Heng Eng – Iyslander, Stormbind – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Iyslander, Stormbind",3rd,https://fabtcg.com/decklists/chu-heng-eng-iyslander-stormbind-battle-hardened-singapore/
Singapore,20 Jul 2025,"Gordon Koh Koh – Nuu, Alluring Desire – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Nuu, Alluring Desire",3rd,https://fabtcg.com/decklists/gordon-koh-koh-nuu-alluring-desire-battle-hardened-singapore/
Canada,20 Jul 2025,"Thomas Zimmer – Zen, Tamer of Purpose – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/34eb2711-34f9-4f94-9058-2a8e1cd27160/
Malaysia,20 Jul 2025,"Ji Timm Lee – Briar, Warden of Thorns – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Briar, Warden of Thorns",5th,https://fabtcg.com/decklists/ji-timm-lee-briar-warden-of-thorns-battle-hardened-singapore/
New Zealand,20 Jul 2025,Thomas Bailey Galbraith – Dash I/O – Battle Hardened: Singapore 2025,Battle Hardened: Singapore,Living Legend,Dash I/O,5th,https://fabtcg.com/decklists/thomas-bailey-galbraith-dash-io-battle-hardened-singapore/
United States of America,20 Jul 2025,"Jude Cornett – Dromai, Ash Artist – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Dromai, Ash Artist",5th,https://fabtcg.com/decklists/jude-cornett-dromai-ash-artist-battle-hardened-singapore/
Singapore,20 Jul 2025,"Chu Heng Eng – Iyslander, Stormbind – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Iyslander, Stormbind",,https://fabtcg.com/decklists/chu-heng-eng-iyslander-stormbind-battle-hardened-singapore-2025-2/
Malaysia,20 Jul 2025,"Ji Timm Lee – Briar, Warden of Thorns – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Briar, Warden of Thorns",,https://fabtcg.com/decklists/ji-timm-lee-briar-warden-of-thorns-battle-hardened-singapore-2025-2/
United States of America,20 Jul 2025,"David Lee – Briar, Warden of Thorns – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Briar, Warden of Thorns",,https://fabtcg.com/decklists/david-lee-briar-warden-of-thorns-battle-hardened-singapore-2025-2/
Singapore,20 Jul 2025,"Gordon Koh Koh – Nuu, Alluring Desire – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Nuu, Alluring Desire",,https://fabtcg.com/decklists/gordon-koh-koh-nuu-alluring-desire-battle-hardened-singapore-2025-2/
United States of America,20 Jul 2025,"Jude Cornett – Dromai, Ash Artist – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Dromai, Ash Artist",,https://fabtcg.com/decklists/jude-cornett-dromai-ash-artist-battle-hardened-singapore-2025-2/
United States of America,20 Jul 2025,"Naib Mobassir – Ira, Scarlet Revenger – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Ira, Scarlet Revenger",,https://fabtcg.com/decklists/naib-mobassir-ira-scarlet-revenger-battle-hardened-singapore-2025-2/
Canada,20 Jul 2025,"Thomas Zimmer – Zen, Tamer of Purpose – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Zen, Tamer of Purpose",,https://fabtcg.com/decklists/thomas-zimmer-zen-tamer-of-purpose-battle-hardened-singapore-2025-2/
New Zealand,20 Jul 2025,Thomas Bailey Galbraith – Dash I/O – Battle Hardened: Singapore 2025,Battle Hardened: Singapore,Living Legend,Dash I/O,,https://fabtcg.com/decklists/thomas-bailey-galbraith-dash-i-o-battle-hardened-singapore-2025-2/
Singapore,20 Jul 2025,"Chu Heng Eng – Iyslander, Stormbind – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Iyslander, Stormbind",,https://fabtcg.com/decklists/chu-heng-eng-iyslander-stormbind-battle-hardened-singapore-2025-3/
Malaysia,20 Jul 2025,"Ji Timm Lee – Briar, Warden of Thorns – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Briar, Warden of Thorns",,https://fabtcg.com/decklists/ji-timm-lee-briar-warden-of-thorns-battle-hardened-singapore-2025-3/
United States of America,20 Jul 2025,"David Lee – Briar, Warden of Thorns – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Briar, Warden of Thorns",,https://fabtcg.com/decklists/david-lee-briar-warden-of-thorns-battle-hardened-singapore-2025-3/
Singapore,20 Jul 2025,"Gordon Koh Koh – Nuu, Alluring Desire – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Nuu, Alluring Desire",,https://fabtcg.com/decklists/gordon-koh-koh-nuu-alluring-desire-battle-hardened-singapore-2025-3/
United States of America,20 Jul 2025,"Jude Cornett – Dromai, Ash Artist – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Dromai, Ash Artist",,https://fabtcg.com/decklists/jude-cornett-dromai-ash-artist-battle-hardened-singapore-2025-3/
United States of America,20 Jul 2025,"Naib Mobassir – Ira, Scarlet Revenger – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Ira, Scarlet Revenger",,https://fabtcg.com/decklists/naib-mobassir-ira-scarlet-revenger-battle-hardened-singapore-2025-3/
Canada,20 Jul 2025,"Thomas Zimmer – Zen, Tamer of Purpose – Battle Hardened: Singapore 2025",Battle Hardened: Singapore,Living Legend,"Zen, Tamer of Purpose",,https://fabtcg.com/decklists/thomas-zimmer-zen-tamer-of-purpose-battle-hardened-singapore-2025-3/
New Zealand,20 Jul 2025,Thomas Bailey Galbraith – Dash I/O – Battle Hardened: Singapore 2025,Battle Hardened: Singapore,Living Legend,Dash I/O,,https://fabtcg.com/decklists/thomas-bailey-galbraith-dash-i-o-battle-hardened-singapore-2025-3/
Singapore,20 Jul 2025,"Chu Heng Eng – Iyslander, Stormbind – Battle Hardened: Singapore 2025",,Living Legend,"Iyslander, Stormbind",,https://fabtcg.com/decklists/chu-heng-eng-iyslander-stormbind-battle-hardened-singapore-2025/
Malaysia,20 Jul 2025,"Ji Timm Lee – Briar, Warden of Thorns – Battle Hardened: Singapore 2025",,Living Legend,"Briar, Warden of Thorns",,https://fabtcg.com/decklists/ji-timm-lee-briar-warden-of-thorns-battle-hardened-singapore-2025/
United States of America,20 Jul 2025,"David Lee – Briar, Warden of Thorns – Battle Hardened: Singapore 2025",,Living Legend,"Briar, Warden of Thorns",,https://fabtcg.com/decklists/david-lee-briar-warden-of-thorns-battle-hardened-singapore-2025/
Singapore,20 Jul 2025,"Gordon Koh Koh – Nuu, Alluring Desire – Battle Hardened: Singapore 2025",,Living Legend,"Nuu, Alluring Desire",,https://fabtcg.com/decklists/gordon-koh-koh-nuu-alluring-desire-battle-hardened-singapore-2025/
United States of America,20 Jul 2025,"Jude Cornett – Dromai, Ash Artist – Battle Hardened: Singapore 2025",,Living Legend,"Dromai, Ash Artist",,https://fabtcg.com/decklists/jude-cornett-dromai-ash-artist-battle-hardened-singapore-2025/
United States of America,20 Jul 2025,"Naib Mobassir – Ira, Scarlet Revenger – Battle Hardened: Singapore 2025",,Living Legend,"Ira, Scarlet Revenger",,https://fabtcg.com/decklists/naib-mobassir-ira-scarlet-revenger-battle-hardened-singapore-2025/
Canada,20 Jul 2025,"Thomas Zimmer – Zen, Tamer of Purpose – Battle Hardened: Singapore 2025",,Living Legend,"Zen, Tamer of Purpose",,https://fabtcg.com/decklists/thomas-zimmer-zen-tamer-of-purpose-battle-hardened-singapore-2025/
New Zealand,20 Jul 2025,Thomas Bailey Galbraith – Dash I/O – Battle Hardened: Singapore 2025,,Living Legend,Dash I/O,,https://fabtcg.com/decklists/thomas-bailey-galbraith-dash-i-o-battle-hardened-singapore-2025/
Japan,19 Jul 2025,"shoma yamamura – Ira, Scarlet Revenger – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Ira, Scarlet Revenger",1st,https://fabtcg.com/decklists/shoma-yamamura-ira-scarlet-revenger-calling-singapore/
United States of America,19 Jul 2025,"Michael Feng – Gravy Bones, Shipwrecked Looter – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Gravy Bones, Shipwrecked Looter",2nd,https://fabtcg.com/decklists/michael-feng-gravy-bones-shipwrecked-looter-calling-singapore/
United States of America,19 Jul 2025,"Peter Buddensiek – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",3rd,https://fabtcg.com/decklists/peter-buddensiek-arakni-5lp3d-7hru-7h3-cr4x-calling-singapore/
United States of America,19 Jul 2025,Josh Lind – Jarl Vetreiði – Calling: Singapore 2025,Calling: Singapore,Classic Constructed,Jarl Vetreiði,3rd,https://fabtcg.com/decklists/josh-lind-jarl-vetreidi-calling-singapore/
United States of America,19 Jul 2025,"Joshua Neitzel – Oscilio, Constella Intelligence – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/joshua-neitzel-oscilio-constella-intelligence-calling-singapore/
South Korea,19 Jul 2025,"Juntaek Lim – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",5th,https://fabtcg.com/decklists/juntaek-lim-arakni-5lp3d-7hru-7h3-cr4x-calling-singapore/
Japan,19 Jul 2025,"masaru okuda – Florian, Rotwood Harbinger – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Florian, Rotwood Harbinger",5th,https://fabtcg.com/decklists/masaru-okuda-florian-rotwood-harbinger-calling-singapore/
United States of America,19 Jul 2025,"Andrew Wilborn – Fang, Dracai of Blades – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Fang, Dracai of Blades",5th,https://fabtcg.com/decklists/andrew-wilborn-fang-dracai-of-blades-calling-singapore/
United States of America,19 Jul 2025,"Joshua Neitzel – Oscilio, Constella Intelligence – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Oscilio, Constella Intelligence",,https://fabtcg.com/decklists/joshua-neitzel-oscilio-constella-intelligence-calling-singapore-2025-2/
United States of America,19 Jul 2025,Josh Lind – Jarl Vetreiði – Calling: Singapore 2025,Calling: Singapore,Classic Constructed,Jarl Vetreiði,,https://fabtcg.com/decklists/josh-lind-jarl-vetreidi-calling-singapore-2025-2/
South Korea,19 Jul 2025,"Juntaek Lim – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/juntaek-lim-arakni-5lp3d-7hru-7h3-cr4x-calling-singapore-2025-2/
United States of America,19 Jul 2025,"Peter Buddensiek – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/peter-buddensiek-arakni-5lp3d-7hru-7h3-cr4x-calling-singapore-2025-2/
Japan,19 Jul 2025,"masaru okuda – Florian, Rotwood Harbinger – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Florian, Rotwood Harbinger",,https://fabtcg.com/decklists/masaru-okuda-florian-rotwood-harbinger-calling-singapore-2025-2/
Vietnam,19 Jul 2025,"Khoi Dinh – Katsu, the Wanderer – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Katsu, the Wanderer",,https://fabtcg.com/decklists/khoi-dinh-katsu-the-wanderer-calling-singapore-2025-2/
United States of America,19 Jul 2025,"Andrew Wilborn – Fang, Dracai of Blades – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Fang, Dracai of Blades",,https://fabtcg.com/decklists/andrew-wilborn-fang-dracai-of-blades-calling-singapore-2025-2/
Japan,19 Jul 2025,"shoma yamamura – Ira, Scarlet Revenger – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Ira, Scarlet Revenger",,https://fabtcg.com/decklists/shoma-yamamura-ira-scarlet-revenger-calling-singapore-2025-2/
United States of America,19 Jul 2025,"Michael Feng – Gravy Bones, Shipwrecked Looter – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Gravy Bones, Shipwrecked Looter",,https://fabtcg.com/decklists/michael-feng-gravy-bones-shipwrecked-looter-calling-singapore-2025-2/
United States of America,19 Jul 2025,"Joshua Neitzel – Oscilio, Constella Intelligence – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Oscilio, Constella Intelligence",,https://fabtcg.com/decklists/joshua-neitzel-oscilio-constella-intelligence-calling-singapore-2025-3/
United States of America,19 Jul 2025,Josh Lind – Jarl Vetreiði – Calling: Singapore 2025,Calling: Singapore,Classic Constructed,Jarl Vetreiði,,https://fabtcg.com/decklists/josh-lind-jarl-vetreidi-calling-singapore-2025-3/
South Korea,19 Jul 2025,"Juntaek Lim – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/juntaek-lim-arakni-5lp3d-7hru-7h3-cr4x-calling-singapore-2025-3/
United States of America,19 Jul 2025,"Peter Buddensiek – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/peter-buddensiek-arakni-5lp3d-7hru-7h3-cr4x-calling-singapore-2025-3/
Japan,19 Jul 2025,"masaru okuda – Florian, Rotwood Harbinger – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Florian, Rotwood Harbinger",,https://fabtcg.com/decklists/masaru-okuda-florian-rotwood-harbinger-calling-singapore-2025-3/
Vietnam,19 Jul 2025,"Khoi Dinh – Katsu, the Wanderer – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Katsu, the Wanderer",,https://fabtcg.com/decklists/khoi-dinh-katsu-the-wanderer-calling-singapore-2025-3/
United States of America,19 Jul 2025,"Andrew Wilborn – Fang, Dracai of Blades – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Fang, Dracai of Blades",,https://fabtcg.com/decklists/andrew-wilborn-fang-dracai-of-blades-calling-singapore-2025-3/
Japan,19 Jul 2025,"shoma yamamura – Ira, Scarlet Revenger – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Ira, Scarlet Revenger",,https://fabtcg.com/decklists/shoma-yamamura-ira-scarlet-revenger-calling-singapore-2025-3/
United States of America,19 Jul 2025,"Michael Feng – Gravy Bones, Shipwrecked Looter – Calling: Singapore 2025",Calling: Singapore,Classic Constructed,"Gravy Bones, Shipwrecked Looter",,https://fabtcg.com/decklists/michael-feng-gravy-bones-shipwrecked-looter-calling-singapore-2025-3/
United States of America,19 Jul 2025,"Joshua Neitzel – Oscilio, Constella Intelligence – Calling: Singapore 2025",,Classic Constructed,"Oscilio, Constella Intelligence",,https://fabtcg.com/decklists/joshua-neitzel-oscilio-constella-intelligence-calling-singapore-2025/
United States of America,19 Jul 2025,Josh Lind – Jarl Vetreiði – Calling: Singapore 2025,,Classic Constructed,Jarl Vetreiði,,https://fabtcg.com/decklists/josh-lind-jarl-vetreidi-calling-singapore-2025/
South Korea,19 Jul 2025,"Juntaek Lim – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Singapore 2025",,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/juntaek-lim-arakni-5lp3d-7hru-7h3-cr4x-calling-singapore-2025/
United States of America,19 Jul 2025,"Peter Buddensiek – Arakni, 5L!p3d 7hRu 7h3 cR4X – Calling: Singapore 2025",,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/peter-buddensiek-arakni-5lp3d-7hru-7h3-cr4x-calling-singapore-2025/
Japan,19 Jul 2025,"masaru okuda – Florian, Rotwood Harbinger – Calling: Singapore 2025",,Classic Constructed,"Florian, Rotwood Harbinger",,https://fabtcg.com/decklists/masaru-okuda-florian-rotwood-harbinger-calling-singapore-2025/
Vietnam,19 Jul 2025,"Khoi Dinh – Katsu, the Wanderer – Calling: Singapore 2025",,Classic Constructed,"Katsu, the Wanderer",,https://fabtcg.com/decklists/khoi-dinh-katsu-the-wanderer-calling-singapore-2025/
United States of America,19 Jul 2025,"Andrew Wilborn – Fang, Dracai of Blades – Calling: Singapore 2025",,Classic Constructed,"Fang, Dracai of Blades",,https://fabtcg.com/decklists/andrew-wilborn-fang-dracai-of-blades-calling-singapore-2025/
Japan,19 Jul 2025,"shoma yamamura – Ira, Scarlet Revenger – Calling: Singapore 2025",,Classic Constructed,"Ira, Scarlet Revenger",,https://fabtcg.com/decklists/shoma-yamamura-ira-scarlet-revenger-calling-singapore-2025/
United States of America,19 Jul 2025,"Michael Feng – Gravy Bones, Shipwrecked Looter – Calling: Singapore 2025",,Classic Constructed,"Gravy Bones, Shipwrecked Looter",,https://fabtcg.com/decklists/michael-feng-gravy-bones-shipwrecked-looter-calling-singapore-2025/
Singapore,18 Jul 2025,"shirui wu – Gravy Bones, Shipwrecked Looter – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/shirui-wu-gravy-bones-shipwrecked-looter-pro-tour-singapore/
France,18 Jul 2025,"Enki Dupaquier – Gravy Bones, Shipwrecked Looter – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Gravy Bones, Shipwrecked Looter",2nd,https://fabtcg.com/decklists/enki-dupaquier-gravy-bones-shipwrecked-looter-pro-tour-singapore/
France,18 Jul 2025,"Tom Escoffier – Arakni, 5L!p3d 7hRu 7h3 cR4X – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",3rd,https://fabtcg.com/decklists/tom-escoffier-arakni-5lp3d-7hru-7h3-cr4x-pro-tour-singapore/
Canada,18 Jul 2025,"Edison Yue – Verdance, Thorn of the Rose – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Verdance, Thorn of the Rose",3rd,https://fabtcg.com/decklists/edison-yue-verdance-thorn-of-the-rose-pro-tour-singapore/
United States of America,18 Jul 2025,"Michael Hamilton – Gravy Bones, Shipwrecked Looter – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/michael-hamilton-gravy-bones-shipwrecked-looter-pro-tour-singapore/
Philippines,18 Jul 2025,"Nathaniel Jerald Bea – Cindra, Dracai of Retribution – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/nathaniel-jerald-bea-cindra-dracai-of-retribution-pro-tour-singapore/
France,18 Jul 2025,"Arthur Trehet – Gravy Bones, Shipwrecked Looter – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/arthur-trehet-gravy-bones-shipwrecked-looter-pro-tour-singapore/
Netherlands,18 Jul 2025,"Jimmy Nguyen – Arakni, 5L!p3d 7hRu 7h3 cR4X – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",5th,https://fabtcg.com/decklists/jimmy-nguyen-arakni-5lp3d-7hru-7h3-cr4x-pro-tour-singapore/
Netherlands,18 Jul 2025,"Jimmy Nguyen – Arakni, 5L!p3d 7hRu 7h3 cR4X – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/jimmy-nguyen-arakni-5lp3d-7hru-7h3-cr4x-pro-tour-singapore-2025-2/
France,18 Jul 2025,"Enki Dupaquier – Gravy Bones, Shipwrecked Looter – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Gravy Bones, Shipwrecked Looter",,https://fabtcg.com/decklists/enki-dupaquier-gravy-bones-shipwrecked-looter-pro-tour-singapore-2025-2/
France,18 Jul 2025,"Arthur Trehet – Gravy Bones, Shipwrecked Looter – Pro Tour: Singapore 2025",Pro Tour: Singapore,Classic Constructed,"Gravy Bones, Shipwrecked Looter",,https://fabtcg.com/decklists/arthur-trehet-gravy-bones-shipwrecked-looter-pro-tour-singapore-2025-2/
