Country/Region,Date,Name,Event,Format,Hero,Rank,deck_url
United States of America,14 Dec 2025,Christopher Iaali – Kassai of the Golden Sand – Calling: Seattle,Calling: Seattle,Classic Constructed,Kassai of the Golden Sand,1st,https://fabtcg.com/decklists/christopher-iaali-kassai-of-the-golden-sand-calling-seattle-calling-classic-constructed-9-am-1213/
United States of America,14 Dec 2025,"Zak Miller – Kano, Dracai of Aether – Calling: Seattle",Calling: Seattle,Classic Constructed,"Kano, Dracai of Aether",2nd,https://fabtcg.com/decklists/zak-miller-kano-dracai-of-aether-calling-seattle-calling-classic-constructed-9-am-1213/
Denmark,14 Dec 2025,"Simon Nielsen – Prism, Awakener of Sol – Calling: Seattle",Calling: Seattle,Classic Constructed,"Prism, Awakener of Sol",3rd,https://fabtcg.com/decklists/simon-nielsen-prism-awakener-of-sol-calling-seattle-calling-classic-constructed-9-am-1213/
United States of America,14 Dec 2025,"Griffin Meyers – Gravy Bones, Shipwrecked Looter – Calling: Seattle",Calling: Seattle,Classic Constructed,"Gravy Bones, Shipwrecked Looter",3rd,https://fabtcg.com/decklists/griffin-meyers-gravy-bones-shipwrecked-looter-calling-seattle-calling-classic-constructed-9-am-1213/
Canada,14 Dec 2025,"Yuki Lee Bender – Cindra, Dracai of Retribution – Calling: Seattle",Calling: Seattle,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/yuki-lee-bender-cindra-dracai-of-retribution-calling-seattle-calling-classic-constructed-9-am-1213/
United States of America,14 Dec 2025,"Tader Kammeyer – Kayo, Underhanded Cheat – Calling: Seattle",Calling: Seattle,Classic Constructed,"Kayo, Underhanded Cheat",5th,https://fabtcg.com/decklists/tader-kammeyer-kayo-underhanded-cheat-calling-seattle-calling-classic-constructed-9-am-1213/
United States of America,14 Dec 2025,"Andrew Lorenz – Oscilio, Constella Intelligence – Calling: Seattle",Calling: Seattle,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/andrew-lorenz-oscilio-constella-intelligence-calling-seattle-calling-classic-constructed-9-am-1213/
United States of America,14 Dec 2025,"Thaminda Edirisooriya – Gravy Bones, Shipwrecked Looter – Calling: Seattle",Calling: Seattle,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/thaminda-edirisooriya-gravy-bones-shipwrecked-looter-calling-seattle-calling-classic-constructed-9-am-1213/
Japan,13 Dec 2025,"Ran Sasaki – Cindra, Dracai of Retribution – Battle Hardened: Seoul",Battle Hardened: Seoul,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/ran-sasaki-cindra-dracai-of-retribution-battle-hardened-seoul/
Singapore,13 Dec 2025,"shirui wu – Gravy Bones, Shipwrecked Looter – Battle Hardened: Seoul",Battle Hardened: Seoul,Classic Constructed,"Gravy Bones, Shipwrecked Looter",2nd,https://fabtcg.com/decklists/shirui-wu-gravy-bones-shipwrecked-looter-battle-hardened-seoul/
